"ErrorCode";"Remediation";"Message"
"75008";"The request from the application was denied since the SAML request had an unexpected destination. Contact the application owner";"Received SAML request with an unexpected destination '{actualDest}'. Expected one of '{validDests}'."
"75011";"Authentication method by which the user authenticated with the service doesn't match requested authentication method. Contact the application owner";"Authentication method '{usedMethod}' by which the user authenticated with the service doesn't match requested authentication method '{requestedMethod}'. Contact the {appName} application owner."
"75016";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The SP name qualifier '{name}' is not valid."
"76021";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The request sent by client is not signed while the application requires signed requests"
"76026";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The request has expired. Try to submit new request."
"80001";"Authentication Agent unable to connect to Active Directory. Make sure the authentication agent is installed on a domain-joined machine that has line of sight to a data center that can serve the user's login request";"No Microsoft Azure AD Connect Authentication Agent was found. Make sure that your environment is configured correctly. If your directory is set for pass-through authentication, make sure that your Microsoft Azure AD Connect Authentication Agent is online."
"80002";"Make sure that your on-premises Active Directory instance is available and responding to requests from the agents.";"Internal error. Password validation request timed out. We were unable to either send the authentication request to the internal Hybrid Identity Service."
"80005";"Retry the request and ensure that your on-premises AD instance is operating correctly. If it continues to fail, open a support ticket to get more details on the error: https://learn.microsoft.com/entra/fundamentals/how-to-get-support";"An unknown error occurred while processing the response from the Authentication Agent."
"80007";"Contact your administrator for more information.";"The Authentication Agent is unable to validate user's password. Check the agent logs for more info and verify that Active Directory is operating as expected."
"80010";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Cannot encrypt with key identifier '{key}'. The Authentication Agent is unable to decrypt password."
"80012";"The users attempted to log on outside of the allowed hours (this is specified in AD)";"Your account has time restrictions that keep you from signing in right now."
"80013";"Fix time sync issues";"The authentication attempt could not be completed due to time skew (time/date difference) between the machine running the authentication agent and AD."
"80014";"Authentication agent timed out. Open a support ticket with the error code, correlation ID, and timestamp to get more details on this error";"Validation request responded after maximum elapsed time exceeded."
"81004";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Kerberos authentication failed."
"81005";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Authentication package is not supported."
"81006";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"No authorization header was found, returning 401 WWW-Authenticate."
"81007";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Tenant is not enabled for DesktopSSO."
"81009";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Unable to validate the user's Kerberos ticket, the authorization header value is not formatted correctly."
"81010";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Seamless SSO failed because the user's Kerberos ticket has expired or is invalid."
"81011";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Failed to find user by on-premise SID in the user's Kerberos ticket."
"81012";"This is not an error condition. It indicates that user trying to sign in to AzureAD is different from the user signed into the device. You can safely ignore this code in the logs";"The user trying to sign in to Azure AD is different from the user signed into the device."
"90002";"The application developer will recieve this error if their app attempts to sign into a tenant that we cannot find. Often, this is because a cross-cloud app was used against the wrong cloud, or the developer attempted to sign in to a tenant derived from an email address, byut the domain isn't registered.";"Tenant '{tenant_name}' not found. Check to make sure you have the correct tenant ID and are signing into the correct cloud. Check with your subscription administrator, this may happen if there are no active subscriptions for the tenant."
"90004";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The request is not properly formatted."
"90005";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Unable to complete request. The request was invalid since SID and login_hint cannot be used together."
"90006";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"A transient error has occurred. Please try again."
"90007";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Bad Request. The passed session ID cannot be parsed."
"90008";"This happened because application is misconfigured: it must require access to Microsoft Graph by specifying at least 'Sign in and read user profile' permission.";"The user or administrator has not consented to use the application with ID '{appId}'({appName}). This happened because application is misconfigured: it must require access to Microsoft Graph by specifying at least 'Sign in and read user profile' permission."
"90009";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Application '{appId}'({appName}) is requesting a token for itself. This scenario is supported only if resource is specified using the GUID based App Identifier."
"90010";"Contact the application developer. The request is not supported for various reasons. For example, the request is made using an unsupported request method (only POST method is supported) or the token signing algorithm that was requested is not supported.";"Unable to create {algoName} algorithm."
"9001023";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The grant type is not supported over the /common or /consumers endpoints. Please use the /organizations or tenant-specific endpoint."
"90012";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"This request has timed out."
"90013";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid input received from the user."
"90014";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"The required field '{name}' is missing from the credential. Ensure that you have all the necessary parameters for the login request."
"900144";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"The request body must contain the following parameter: '{name}'."
"90015";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Requested query string is too long."
"90016";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid access token. Required claim is missing."
"90019";"Application error - the request can't be routed to a tenant, but needs to be.";"No tenant-identifying information found in either the request or implied by any provided credentials."
"90020";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"The SAML 1.1 Assertion is missing ImmutableID of the user."
"90022";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Principal name format is invalid for '{name}'. Expected format: name[/instance][@realm]. The principal name is required, host and realm are optional and may be set to null."
"90023";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid STS request."
"900236";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The SAML authentication request property '{propertyName}' is not supported and must not be set."
"9002313";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"Invalid request. Request is malformed or invalid."
"9002332";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Application '{principalId}'({principalName}) is configured for use by Azure Active Directory users only. Please do not use the /consumers endpoint to serve this request."
"90024";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"A transient error has occurred. Please try again."
"90027";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"We are unable to issue tokens from this API version on the MSA tenant. Please contact the application vendor as they need to use version 2.0 of the protocol to support this."
"90033";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"A transient error has occurred. Please try again."
"90036";"If you see this consistently, open a support ticket to get more details on the error: https://learn.microsoft.com/entra/fundamentals/how-to-get-support";"An unexpected, non-retryable error stemming from the directory service has occurred."
"90038";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Tenant '{tenant_name}' request is being redirected to the National Cloud '{cloud}'."
"900384";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"JWT token failed signature validation. Actual message content is runtime specific. Please see returned exception message for details."
"90043";"This is not an error scenario, but is handled like one by Azure AD to handle certain authentication flows.  This is not an indication that anything went wrong.";"OAuth2 grant was issued by National Cloud STS."
"900432";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Confidential Client is not supported in Cross Cloud request."
"90051";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid Delegation Token. Invalid national Cloud ID ({cloudId}) is specified."
"90055";"Your tenant has sent too many requests to AAD, triggering anti-abuse throttling measures. Please check to see if there are any misbehaving applications that are sending too many requests to AAD.";"The server has terminated the request due to excessive request rate. Please wait a few seconds and try again."
"90056";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Requested resource cannot be found."
"900561";"This can be due to developer error, or due to users pressing the back button in their browser, triggering a bad request. It can be ignored.";"The endpoint only accepts {valid_verbs} requests. Received a {invalid_verb} request."
"90072";"The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account";"User account '{user}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{application}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account"
"90081";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"An error occurred when the service tried to process a WS-Federation message. The message was invalid, malformatted, or contains potentially dangerous characters."
"90082";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Authentication policy '{name}' selected for the request is not currently supported."
"90084";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Guest accounts are not allowed for this site."
"90085";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The service is unable to issue a token because the company object hasn't been provisioned yet."
"90086";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The user DA token is expired."
"90087";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"An error occurred while creating the WS-Federation message from the URI."
"90090";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"A transient error has occurred. Please try again."
"90091";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"A transient error has occurred. Please try again."
"90092";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Non-retryable error has occurred."
"90093";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Actual message content is runtime specific. Please see returned exception message for details."
"90094";"Ask your tenant administrator to provide consent for this application.";"Admin consent is required for the permissions requested by this application."
"900382";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Confidential Client is not supported in Cross Cloud request."
"90095";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Admin consent is required for the permissions requested by this application. An admin consent request may be sent to the admin."
"90099";"Provide pre-consent or execute the appropriate Partner Center API to authorize the application.";"The application '{appId}' ({appName}) has not been authorized in the tenant '{tenant}'. Applications must be authorized to access the customer tenant before partner delegated administrators can use them."
"900971";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"No reply address provided."
"90100";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"{name} parameter is empty or not valid."
"901002";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The '{name}' request parameter is not supported."
"90101";"Application or user error - if this persists, reach out to the impacted user or developer for more details.";"The supplied data isn't a valid email address. Please provide it in the format someone@example.com"
"90102";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"'{name}' value must be a valid absolute URI."
"90107";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The request is not valid. Make sure your data doesn't have invalid characters."
"90112";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Application identifier is expected to be a GUID."
"90114";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The specified bulk AADJ token expiration timestamp will cause an expired token to be issued."
"90117";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid request."
"90119";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The user code is null or missing."
"90120";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"This request was already authorized or declined."
"90121";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid empty request."
"90123";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The token can't be issued because the identity or claim issuance provider denied the request. Response code: {errorCode}."
"90124";"Use the /organizations or tenant-specific endpoint.";"{resConstant} '{resourceId}' {resourceName} is not supported over the /common or /consumers endpoints. Please use the /organizations or tenant-specific endpoint."
"90125";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"{userName} isn't in our system. Make sure you entered the user name correctly."
"90126";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"User Type is not supported on this endpoint. The system can't infer the user's tenant from the user name: {userName}"
"90130";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"{appConstant} '{appId}' {appName} is not supported over the /common or /consumers endpoints. Please use the /organizations or tenant-specific endpoint."
"120000";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Incorrect password."
"120002";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"New password doesn't meet complexity requirements. Passwords can't contain user ID, and need to be 8-16 characters long, with at least 3 of the following: uppercase letters, lowercase letters, numbers, and symbols."
"120003";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"New password doesn't meet complexity requirements. Passwords can't contain user ID, and need to be 8-16 characters long, with at least 3 of the following: uppercase letters, lowercase letters, numbers, and symbols."
"120004";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"New password doesn't match the password complexity requirements of the user's company's OnPrem Active Directory."
"120005";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Password was successfully updated, but servers take time to catch up. Please try signing in again in a few minutes."
"120008";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Access has been blocked by Conditional Access policies. The access policy does not allow token issuance."
"120011";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Access has been blocked by Conditional Access policies. The access policy does not allow token issuance."
"120012";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"User's organization does not allow them to change their password themselves through AAD."
"120013";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Password change failed due to connectivity issues trying to write to user's onprem AD. Try again in a few minutes."
"120014";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"User account is either disabled or temporarily locked by user's organization."
"120015";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Password change failed due to user account misconfiguration."
"120016";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"User not found."
"120018";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"New password does not comply with the policy. The password is too common."
"120020";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Change user password operation failed."
"120021";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Access has been blocked by Conditional Access policies. The access policy does not allow token issuance."
"130004";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"UserPrincipal doesn't have the NGC key configured."
"130005";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"NGC key signature verification failed."
"130006";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The NGC transport key isn't configured on the device."
"130007";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The device is disabled."
"130008";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Device referenced by the NGC key is not found."
"135010";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"UserPrincipal doesn't have the key ID configured."
"135011";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Device used during the authentication is disabled."
"140000";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Request nonce is expired. Current time: {curTime}, expiry time of assertion {expTime}."
"140001";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The session key is not valid."
"165004";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Actual message content is runtime specific. Please see returned exception message for details."
"165900";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Invalid request."
"220450";"Developer issue - they should ensure that their app is using appropriate and supported webviews when signing in the user.";"The Chrome WebView version is not supported."
"220501";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Unable to download Certificate Revocation List (CRL). Invalid response or no response from CRL Distribution Point {source}."
"221000";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"The resource is not configured to accept device-only tokens."
"240001";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"User is not authorized to register devices in Azure AD."
"240002";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Input id_token cannot be used as 'urn:ietf:params:oauth:grant-type:jwt-bearer' grant."
"501621";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Regular expression replacement for claims transformation has timed out. This indicates a too complex regular expression may have been configured for this application. A retry of the request may succeed. Otherwise, please contact your admin to fix the configuration."
"530032";"If this user is risky in your tenant, learn more here: aka.ms/unblockrisk. If this is a guest user, learn more here: aka.ms/riskyguestuser.";"User blocked due to risk on home tenant."
"700016";"The application named X was not found in the tenant named Y. This can happen if the application with identifier X has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have misconfigured the Identifier value for the application or sent your authentication request to the wrong tenant";"Application with identifier '{appIdentifier}' was not found in the directory '{tenantName}'. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You may have sent your authentication request to the wrong tenant."
"700020";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Application ID {identifier} is a reserved identifier and should be removed on the application: {applicationId}."
"700022";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"No Subject claim provided in the assertion. Review the documentation at https://learn.microsoft.com/entra/identity-platform/certificate-credentials ."
"700023";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Client assertion audience claim does not match Realm issuer. Review the documentation at https://learn.microsoft.com/entra/identity-platform/certificate-credentials ."
"7000215";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"Invalid client secret provided. Ensure the secret being sent in the request is the client secret value, not the client secret ID, for a secret added to app '{identifier}'."
"7000218";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"The request body must contain the following parameter: 'client_assertion' or 'client_secret'."
"7000222";"Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.";"The provided client secret keys for app '{identifier}' are expired. Visit the Azure portal to create new keys for your app: https://aka.ms/NewClientSecret, or consider using certificate credentials for added security: https://aka.ms/certCreds."
"700229";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Forbidden token type. Only app-only tokens may be used as Federated Identity Credentials for AAD issuer."
"700005";"OAuth2 Authorization Code must be redeemed against same tenant it was acquired for.";"Provided Authorization Code is intended to use against other tenant, thus rejected."
"1000000";"Expected error when the user attempts to connect a LinkedIn account to their AAD account.";"The Bind API requires the Azure AD user to also authenticate with an external IDP, which hasn't happened yet. Redirecting to external IDP."
"1000002";"This is not an error scenario, but is handled like one by Azure AD to handle certain authentication flows.  This is not an indication that anything went wrong.";"The bind completed successfully, but the user must be informed."
"100007";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"This request was received by an Azure AD regional authentication endpoint. Only managed identities and Microsoft internal service identities are supported. SN+I authentication is required.  All others, send your request to login.microsoftonline.com: in MSAL avoid using .WithAzureRegion(), in App Service, set REGION_NAME to null."
"1000031";"Contact your administrator for more information.";"Application {appDisplayName} cannot be accessed at this time. Contact your administrator."
"7000112";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Application '{appIdentifier}'({appName}) is disabled."
"7000114";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Application '{appIdentifier}' is not allowed to make application on-behalf-of calls."
"7500529";""Azure AD uses this attribute to populate the InResponseTo attribute of the returned response. The ID must not begin with a number, so a common strategy is to prepend a string like ""id"" to the string representation of a GUID. For example, id6c1c178c166d486687be4aaf5e482730 is a valid ID."";"The value '{value}' is not a valid SAML ID. The ID must not begin with a number."
"9002341";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"User is required to permit SSO."
