Port,Protocol,Service,Category,Risk,Description
1127,TCP,SUP-debugging,Infrastructure,Medium,SUP debugging
1155,TCP,Network-File-Access,Infrastructure,Medium,Network File Access
1161,TCP,Health-Polling,Infrastructure,Medium,Health Polling
1162,TCP,Health-Trap,Infrastructure,Medium,Health Trap
1169,TCP,TRIPWIRE,Infrastructure,Medium,TRIPWIRE
1178,TCP,SKK,Infrastructure,Medium,SKK (kanji input)
1180,TCP,Millicent-Client-Proxy,Web,Medium,Millicent Client Proxy
1188,TCP,HP-Web-Admin,Web,Medium,HP Web Admin
1200,TCP,SCOL,Infrastructure,Medium,SCOL
1201,TCP,Nucleus-Sand,Infrastructure,Medium,Nucleus Sand
1202,TCP,caiccipc,Infrastructure,Medium,caiccipc
1203,TCP,License-Validation,Infrastructure,Medium,License Validation
1204,TCP,Log-Request-Listener,Infrastructure,Medium,Log Request Listener
1205,TCP,Accord-MGC,Infrastructure,Medium,Accord-MGC
1206,TCP,Anthony-Data,Infrastructure,Medium,Anthony Data
1207,TCP,MetaSage,Infrastructure,Medium,MetaSage
1208,TCP,SEAGULL-AIS,Infrastructure,Medium,SEAGULL AIS
1209,TCP,IPCD3,Infrastructure,Medium,IPCD3
1210,TCP,EOSS,Infrastructure,Medium,EOSS
1211,TCP,Groove-DPP,Infrastructure,Medium,Groove DPP
1212,TCP,lupa,Infrastructure,Medium,lupa
1213,TCP,MPC-LIFENET,Infrastructure,Medium,MPC LIFENET
1214,TCP,KAZAA,Infrastructure,Medium,KAZAA (Morpheus)
1215,TCP,scanSTAT-10,Infrastructure,Medium,scanSTAT 1.0
1216,TCP,ETEBAC-5,Infrastructure,Medium,ETEBAC 5
1217,TCP,HPSS-NDAPI,Infrastructure,Medium,HPSS-NDAPI
1218,TCP,AeroFlight-ADs,Infrastructure,Medium,AeroFlight-ADs
1219,TCP,AeroFlight-Ret,Infrastructure,Medium,AeroFlight-Ret
1220,TCP,QT-SERVER-ADMIN,Infrastructure,Medium,QT SERVER ADMIN
1221,TCP,SweetWARE-Apps,Infrastructure,Medium,SweetWARE Apps
1222,TCP,SNI-RD-network,Infrastructure,Medium,SNI R&D network
1223,TCP,TGP,Infrastructure,Medium,TGP
1224,TCP,VPNz,Infrastructure,Medium,VPNz
1225,TCP,SLINKYSEARCH,Infrastructure,Medium,SLINKYSEARCH
1226,TCP,STGXFWS,Infrastructure,Medium,STGXFWS
1227,TCP,DNS2Go,Infrastructure,Medium,DNS2Go
1228,TCP,FLORENCE,Infrastructure,Medium,FLORENCE
1229,TCP,Novell-ZFS,Infrastructure,Medium,Novell ZFS
1234,TCP,W32BeagleY-trojan-Infoseek-Search-Agent,Infrastructure,Medium,W32.Beagle.Y trojan / Infoseek Search Agent
1239,TCP,NMSD,Infrastructure,Medium,NMSD
1241,TCP,Nessus-Daemon-remote-message-service,Infrastructure,Medium,Nessus Daemon / remote message service
1243,TCP,SubSeven,Infrastructure,Medium,SubSeven (Windows Trojan)
1245,TCP,Subseven-backdoor-remote-access-tool,Infrastructure,Medium,Subseven backdoor remote access tool
1248,TCP,hermes,Infrastructure,Medium,hermes
1270,TCP,Microsoft-Operations-Manager-MOM-Encrypted,Windows,High,Microsoft Operations Manager MOM-Encrypted
1300,TCP,H323-Host-Call-Secure,Infrastructure,Medium,H323 Host Call Secure
1310,TCP,Husky,Infrastructure,Medium,Husky
1311,TCP,RxMon,Infrastructure,Medium,RxMon
1312,TCP,STI-Envision,Infrastructure,Medium,STI Envision
1313,TCP,BMCPATROLDB,Infrastructure,Medium,BMC_PATROLDB
1314,TCP,Photoscript-Distributed-Printing-System,Infrastructure,Medium,Photoscript Distributed Printing System
1319,TCP,Panja-ICSP,Infrastructure,Medium,Panja-ICSP
1320,TCP,Panja-AXBNET,Infrastructure,Medium,Panja-AXBNET
1321,TCP,PIP,Infrastructure,Medium,PIP
1335,TCP,Digital-Notary-Protocol,Development,Medium,Digital Notary Protocol
1345,TCP,VPJP,Infrastructure,Medium,VPJP
1346,TCP,Alta-Analytics-License-Manager,Infrastructure,Medium,Alta Analytics License Manager
1347,TCP,multi-media-conferencing,Infrastructure,Medium,multi media conferencing
1348,TCP,multi-media-conferencing,Infrastructure,Medium,multi media conferencing
1349,TCP,Registration-Network-Protocol,Infrastructure,Medium,Registration Network Protocol
1350,TCP,Registration-Network-Protocol,Infrastructure,Medium,Registration Network Protocol
1351,TCP,Digital-Tool-Works,Development,Medium,Digital Tool Works (MIT)
1352,TCP,Lotus-Notes,Infrastructure,Medium,Lotus Notes
1353,TCP,Relief-Consulting,Infrastructure,Medium,Relief Consulting
1354,TCP,RightBrain-Software,Infrastructure,Medium,RightBrain Software
1355,TCP,Intuitive-Edge,Infrastructure,Medium,Intuitive Edge
1356,TCP,CuillaMartin-Company,Infrastructure,Medium,CuillaMartin Company
1357,TCP,Electronic-PegBoard,Infrastructure,Medium,Electronic PegBoard
1358,TCP,CONNLCLI,Infrastructure,Medium,CONNLCLI
1359,TCP,FTSRV,Infrastructure,Medium,FTSRV
1360,TCP,MIMER,Infrastructure,Medium,MIMER
1361,TCP,LinX,Infrastructure,Medium,LinX
1362,TCP,TimeFlies,Infrastructure,Medium,TimeFlies
1363,TCP,Network-DataMover-Requester,Infrastructure,Medium,Network DataMover Requester
1364,TCP,Network-DataMover-Server,Infrastructure,Medium,Network DataMover Server
1365,TCP,Network-Software-Associates,Infrastructure,Medium,Network Software Associates
1366,TCP,Novell-NetWare-Comm-Service-Platform,Infrastructure,Medium,Novell NetWare Comm Service Platform
1367,TCP,DCS,Infrastructure,Medium,DCS
1368,TCP,ScreenCast,Infrastructure,Medium,ScreenCast
1369,TCP,GlobalView-to-Unix-Shell,Infrastructure,Medium,GlobalView to Unix Shell
1370,TCP,Unix-Shell-to-GlobalView,Infrastructure,Medium,Unix Shell to GlobalView
1371,TCP,Fujitsu-Config-Protocol,Infrastructure,Medium,Fujitsu Config Protocol
1372,TCP,Fujitsu-Config-Protocol,Infrastructure,Medium,Fujitsu Config Protocol
1373,TCP,Chromagrafx,Infrastructure,Medium,Chromagrafx
1374,TCP,EPI-Software-Systems,Infrastructure,Medium,EPI Software Systems
1375,TCP,Bytex,Infrastructure,Medium,Bytex
1376,TCP,IBM-Person-to-Person-Software,Infrastructure,Medium,IBM Person to Person Software
1377,TCP,Cichlid-License-Manager,Infrastructure,Medium,Cichlid License Manager
1378,TCP,Elan-License-Manager,Infrastructure,Medium,Elan License Manager
1379,TCP,Integrity-Solutions,Infrastructure,Medium,Integrity Solutions
1380,TCP,Telesis-Network-License-Manager,Infrastructure,Medium,Telesis Network License Manager
1381,TCP,Apple-Network-License-Manager,Infrastructure,Medium,Apple Network License Manager
1382,TCP,udtos,Infrastructure,Medium,udt_os
1383,TCP,GW-Hannaway-Network-License-Manager,Infrastructure,Medium,GW Hannaway Network License Manager
1384,TCP,Objective-Solutions-License-Manager,Infrastructure,Medium,Objective Solutions License Manager
1385,TCP,Atex-Publishing-License-Manager,Infrastructure,Medium,Atex Publishing License Manager
1386,TCP,CheckSum-License-Manager,Infrastructure,Medium,CheckSum License Manager
1387,TCP,Computer-Aided-Design-Software-Inc-LM,Infrastructure,Medium,Computer Aided Design Software Inc LM
1388,TCP,Objective-Solutions-DataBase-Cache,Database,Medium,Objective Solutions DataBase Cache
1389,TCP,Document-Manager,Infrastructure,Medium,Document Manager
1390,TCP,Storage-Controller,C2,High,Storage Controller
1391,TCP,Storage-Access-Server,C2,High,Storage Access Server
1392,TCP,Print-Manager,Infrastructure,Medium,Print Manager
1393,TCP,Network-Log-Server,Infrastructure,Medium,Network Log Server
1394,TCP,Network-Log-Client,Infrastructure,Medium,Network Log Client
1395,TCP,PC-Workstation-Manager-software,Infrastructure,Medium,PC Workstation Manager software
1396,TCP,DVL-Active-Mail,Infrastructure,Medium,DVL Active Mail
1397,TCP,Audio-Active-Mail,Infrastructure,Medium,Audio Active Mail
1398,TCP,Video-Active-Mail,Infrastructure,Medium,Video Active Mail
1399,TCP,Cadkey-License-Manager,Infrastructure,Medium,Cadkey License Manager
1400,TCP,Cadkey-Tablet-Daemon,Infrastructure,Medium,Cadkey Tablet Daemon
1401,TCP,Goldleaf-License-Manager,Infrastructure,Medium,Goldleaf License Manager
1402,TCP,Prospero-Resource-Manager,Infrastructure,Medium,Prospero Resource Manager
1403,TCP,Prospero-Resource-Manager,Infrastructure,Medium,Prospero Resource Manager
1404,TCP,Infinite-Graphics-License-Manager,Infrastructure,Medium,Infinite Graphics License Manager
1405,TCP,IBM-Remote-Execution-Starter,Infrastructure,Medium,IBM Remote Execution Starter
1406,TCP,NetLabs-License-Manager,Infrastructure,Medium,NetLabs License Manager
1407,TCP,DBSA-License-Manager,Infrastructure,Medium,DBSA License Manager
1408,TCP,Sophia-License-Manager,Infrastructure,Medium,Sophia License Manager
1409,TCP,Here-License-Manager,Infrastructure,Medium,Here License Manager
1410,TCP,HiQ-License-Manager,Infrastructure,Medium,HiQ License Manager
1411,TCP,AudioFile,Infrastructure,Medium,AudioFile
1412,TCP,InnoSys,Infrastructure,Medium,InnoSys
1413,TCP,Innosys-ACL,Infrastructure,Medium,Innosys-ACL
1414,TCP,IBM-MQSeries,Infrastructure,Medium,IBM MQSeries
1415,TCP,DBStar,Infrastructure,Medium,DBStar
1416,TCP,Novell-LU62,Infrastructure,Medium,Novell LU6.2
1417,TCP,Timbuktu-Service-1-Port,Infrastructure,Medium,Timbuktu Service 1 Port
1418,TCP,Timbuktu-Service-2-Port,Infrastructure,Medium,Timbuktu Service 2 Port
1419,TCP,Timbuktu-Service-3-Port,Infrastructure,Medium,Timbuktu Service 3 Port
1420,TCP,Timbuktu-Service-4-Port,Infrastructure,Medium,Timbuktu Service 4 Port
1421,TCP,Gandalf-License-Manager,Infrastructure,Medium,Gandalf License Manager
1422,TCP,Autodesk-License-Manager,Infrastructure,Medium,Autodesk License Manager
1423,TCP,Essbase-Arbor-Software,Infrastructure,Medium,Essbase Arbor Software
1424,TCP,Hybrid-Encryption-Protocol,Infrastructure,Medium,Hybrid Encryption Protocol
1425,TCP,Zion-Software-License-Manager,Infrastructure,Medium,Zion Software License Manager
1426,TCP,Satellite-data-Acquisition-System-1,Infrastructure,Medium,Satellite-data Acquisition System 1
1427,TCP,mloadd-monitoring-tool,C2,High,mloadd monitoring tool
1428,TCP,Informatik-License-Manager,Infrastructure,Medium,Informatik License Manager
1429,TCP,Hypercom-NMS,Infrastructure,Medium,Hypercom NMS
1430,TCP,Hypercom-TPDU,Infrastructure,Medium,Hypercom TPDU
1431,TCP,Reverse-Gossip-Transport,Infrastructure,Medium,Reverse Gossip Transport
1432,TCP,Blueberry-Software-License-Manager,Infrastructure,Medium,Blueberry Software License Manager
1433,TCP,MSSQL,Database,High,Microsoft SQL Server
1434,TCP,Microsoft-SQL-Monitor,Windows,High,Microsoft-SQL-Monitor
1435,TCP,IBM-CICS,Infrastructure,Medium,IBM CICS
1436,TCP,Satellite-data-Acquisition-System-2,Infrastructure,Medium,Satellite-data Acquisition System 2
1437,TCP,Tabula,Infrastructure,Medium,Tabula
1438,TCP,Eicon-Security-Agent-Server,Infrastructure,Medium,Eicon Security Agent/Server
1439,TCP,Eicon-X25-SNA-Gateway,Infrastructure,Medium,Eicon X25/SNA Gateway
1440,TCP,Eicon-Service-Location-Protocol,Infrastructure,Medium,Eicon Service Location Protocol
1441,TCP,Cadis-License-Management,Infrastructure,Medium,Cadis License Management
1442,TCP,Cadis-License-Management,Infrastructure,Medium,Cadis License Management
1443,TCP,Integrated-Engineering-Software,Infrastructure,Medium,Integrated Engineering Software
1444,TCP,Marcam-License-Management,Infrastructure,Medium,Marcam License Management
1445,TCP,Proxima-License-Manager,Infrastructure,Medium,Proxima License Manager
1446,TCP,Optical-Research-Associates-License-Manager,Infrastructure,Medium,Optical Research Associates License Manager
1447,TCP,Applied-Parallel-Research-LM,Infrastructure,Medium,Applied Parallel Research LM
1448,TCP,OpenConnect-License-Manager,Infrastructure,Medium,OpenConnect License Manager
1449,TCP,PEport,Infrastructure,Medium,PEport
1450,TCP,Tandem-Distributed-Workbench-Facility,Infrastructure,Medium,Tandem Distributed Workbench Facility
1451,TCP,IBM-Information-Management,Infrastructure,Medium,IBM Information Management
1452,TCP,GTE-Government-Systems-License-Man,Infrastructure,Medium,GTE Government Systems License Man
1453,TCP,Genie-License-Manager,Infrastructure,Medium,Genie License Manager
1454,TCP,interHDL-License-Manager,Infrastructure,Medium,interHDL License Manager
1455,TCP,ESL-License-Manager,Infrastructure,Medium,ESL License Manager
1456,TCP,DCA,Infrastructure,Medium,DCA
1457,TCP,Valisys-License-Manager,Infrastructure,Medium,Valisys License Manager
1458,TCP,Nichols-Research-Corp,Infrastructure,Medium,Nichols Research Corp.
1459,TCP,Proshare-Notebook-Application,Infrastructure,Medium,Proshare Notebook Application
1460,TCP,Proshare-Notebook-Application,Infrastructure,Medium,Proshare Notebook Application
1461,TCP,IBM-Wireless-LAN,Infrastructure,Medium,IBM Wireless LAN
1462,TCP,World-License-Manager,Infrastructure,Medium,World License Manager
1463,TCP,Nucleus,Infrastructure,Medium,Nucleus
1464,TCP,MSL-License-Manager,Infrastructure,Medium,MSL License Manager
1465,TCP,Pipes-Platform,Infrastructure,Medium,Pipes Platform
1466,TCP,Ocean-Software-License-Manager,Infrastructure,Medium,Ocean Software License Manager
1467,TCP,CSDMBASE,Infrastructure,Medium,CSDMBASE
1468,TCP,CSDM,Infrastructure,Medium,CSDM
1469,TCP,Active-Analysis-Limited-License-Manager,Infrastructure,Medium,Active Analysis Limited License Manager
1470,TCP,Universal-Analytics,Infrastructure,Medium,Universal Analytics
1471,TCP,csdmbase,Infrastructure,Medium,csdmbase
1472,TCP,csdm,Infrastructure,Medium,csdm
1473,TCP,OpenMath,Infrastructure,Medium,OpenMath
1474,TCP,Telefinder,Infrastructure,Medium,Telefinder
1475,TCP,Taligent-License-Manager,Infrastructure,Medium,Taligent License Manager
1476,TCP,clvm-cfg,Infrastructure,Medium,clvm-cfg
1477,TCP,ms-sna-server,Infrastructure,Medium,ms-sna-server
1478,TCP,ms-sna-base,Infrastructure,Medium,ms-sna-base
1479,TCP,dberegister,Infrastructure,Medium,dberegister
1480,TCP,PacerForum,Infrastructure,Medium,PacerForum
1481,TCP,AIRS,Infrastructure,Medium,AIRS
1482,TCP,Miteksys-License-Manager,Infrastructure,Medium,Miteksys License Manager
1483,TCP,AFS-License-Manager,Infrastructure,Medium,AFS License Manager
1484,TCP,Confluent-License-Manager,Infrastructure,Medium,Confluent License Manager
1485,TCP,LANSource,Infrastructure,Medium,LANSource
1486,TCP,nmstoposerv,Infrastructure,Medium,nms_topo_serv
1487,TCP,LocalInfoSrvr,Infrastructure,Medium,LocalInfoSrvr
1488,TCP,DocStor,C2,High,DocStor
1489,TCP,dmdocbroker,Infrastructure,Medium,dmdocbroker
1490,TCP,insitu-conf,Infrastructure,Medium,insitu-conf
1491,TCP,anynetgateway,Infrastructure,Medium,anynetgateway
1492,TCP,stone-design-1,Infrastructure,Medium,stone-design-1
1493,TCP,netmaplm,Infrastructure,Medium,netmap_lm
1494,TCP,Citrix-ica,Infrastructure,Medium,Citrix/ica
1495,TCP,cvc,Infrastructure,Medium,cvc
1496,TCP,liberty-lm,Infrastructure,Medium,liberty-lm
1497,TCP,rfx-lm,Infrastructure,Medium,rfx-lm
1498,TCP,Sybase-SQL-Any,Database,High,Sybase SQL Any
1499,TCP,Federico-Heinz-Consultora,C2,High,Federico Heinz Consultora
1500,TCP,VLSI-License-Manager,Infrastructure,Medium,VLSI License Manager
1501,TCP,Satellite-data-Acquisition-System-3,Infrastructure,Medium,Satellite-data Acquisition System 3
1502,TCP,Shiva,Infrastructure,Medium,Shiva
1503,TCP,MS-Netmeeting-T120-Databeam,Infrastructure,Medium,MS Netmeeting / T.120 / Databeam
1504,TCP,EVB-Software-Engineering-License-Manager,Infrastructure,Medium,EVB Software Engineering License Manager
1505,TCP,Funk-Software-Inc,Infrastructure,Medium,Funk Software Inc.
1506,TCP,Universal-Time-daemon,Infrastructure,Medium,Universal Time daemon (utcd)
1507,TCP,symplex,Infrastructure,Medium,symplex
1508,TCP,diagmond,Infrastructure,Medium,diagmond
1509,TCP,Robcad-Ltd-License-Manager,Infrastructure,Medium,Robcad Ltd. License Manager
1510,TCP,Midland-Valley-Exploration-Ltd-Lic-Man,Infrastructure,Medium,Midland Valley Exploration Ltd. Lic. Man.
1511,TCP,3l-l1,Infrastructure,Medium,3l-l1
1512,TCP,Microsofts-Windows-Internet-Name-Service,Windows,High,Microsoft's Windows Internet Name Service
1513,TCP,Fujitsu-Systems-Business-of-America-Inc,Infrastructure,Medium,Fujitsu Systems Business of America Inc
1514,TCP,Fujitsu-Systems-Business-of-America-Inc,Infrastructure,Medium,Fujitsu Systems Business of America Inc
1515,TCP,ifor-protocol,Infrastructure,Medium,ifor-protocol
1516,TCP,Virtual-Places-Audio-data,Infrastructure,Medium,Virtual Places Audio data
1517,TCP,Virtual-Places-Audio-control,Infrastructure,Medium,Virtual Places Audio control
1518,TCP,Virtual-Places-Video-data,Infrastructure,Medium,Virtual Places Video data
1519,TCP,Virtual-Places-Video-control,Infrastructure,Medium,Virtual Places Video control
1520,TCP,atm-zip-office,Infrastructure,Medium,atm zip office
1521,TCP,Oracle,Database,High,Oracle database
1522,TCP,Ricardo-North-America-License-Manager,Infrastructure,Medium,Ricardo North America License Manager
1523,TCP,cichild,Infrastructure,Medium,cichild
1524,TCP,dtspcd-ingres,Infrastructure,Medium,dtspcd / ingres
1525,TCP,Oracle-Prospero-Directory-Service-non-priv,Database,High,Oracle / Prospero Directory Service non-priv
1526,TCP,Prospero-Data-Access-Prot-non-priv,Infrastructure,Medium,Prospero Data Access Prot non-priv
1527,TCP,oracle,Database,High,oracle
1528,TCP,micautoreg,C2,High,micautoreg
1529,TCP,oracle,Database,High,oracle
1530,TCP,Oracle-ExtProc-rap-service,Database,High,Oracle ExtProc (PLSExtProc) / rap-service
1531,TCP,rap-listen,Infrastructure,Medium,rap-listen
1532,TCP,miroconnect,Infrastructure,Medium,miroconnect
1533,TCP,Virtual-Places-Software,Infrastructure,Medium,Virtual Places Software
1534,TCP,micromuse-lm,Infrastructure,Medium,micromuse-lm
1535,TCP,ampr-info,Infrastructure,Medium,ampr-info
1536,TCP,ampr-inter,Infrastructure,Medium,ampr-inter
1537,TCP,isi-lm,Infrastructure,Medium,isi-lm
1538,TCP,3ds-lm,Infrastructure,Medium,3ds-lm
1539,TCP,Intellistor-License-Manager,C2,High,Intellistor License Manager
1540,TCP,rds,Infrastructure,Medium,rds
1541,TCP,rds2,Infrastructure,Medium,rds2
1542,TCP,gridgen-elmd,Infrastructure,Medium,gridgen-elmd
1543,TCP,simba-cs,Infrastructure,Medium,simba-cs
1544,TCP,aspeclmd,Infrastructure,Medium,aspeclmd
1545,TCP,vistium-share,Infrastructure,Medium,vistium-share
1546,TCP,abbaccuray,Infrastructure,Medium,abbaccuray
1547,TCP,laplink,Infrastructure,Medium,laplink
1548,TCP,Axon-License-Manager,Infrastructure,Medium,Axon License Manager
1549,TCP,Shiva-Hose,Infrastructure,Medium,Shiva Hose
1550,TCP,Image-Storage-license-manager-3M-Company,C2,High,Image Storage license manager 3M Company
1551,TCP,HECMTL-DB,Infrastructure,Medium,HECMTL-DB
1552,TCP,pciarray,Infrastructure,Medium,pciarray
1553,TCP,sna-cs,Infrastructure,Medium,sna-cs
1554,TCP,CACI-Products-Company-License-Manager,Infrastructure,Medium,CACI Products Company License Manager
1555,TCP,livelan,Infrastructure,Medium,livelan
1556,TCP,AshWin-CI-Tecnologies,Infrastructure,Medium,AshWin CI Tecnologies
1557,TCP,ArborText-License-Manager,Infrastructure,Medium,ArborText License Manager
1558,TCP,xingmpeg,Infrastructure,Medium,xingmpeg
1559,TCP,web2host,Web,Medium,web2host
1560,TCP,asci-val,Infrastructure,Medium,asci-val
1561,TCP,facilityview,Infrastructure,Medium,facilityview
1562,TCP,pconnectmgr,Infrastructure,Medium,pconnectmgr
1563,TCP,Cadabra-License-Manager,Infrastructure,Medium,Cadabra License Manager
1564,TCP,Pay-Per-View,Infrastructure,Medium,Pay-Per-View
1565,TCP,WinDD,Infrastructure,Medium,WinDD
1566,TCP,CORELVIDEO,Infrastructure,Medium,CORELVIDEO
1567,TCP,jlicelmd,Infrastructure,Medium,jlicelmd
1568,TCP,tsspmap,Infrastructure,Medium,tsspmap
1569,TCP,ets,Infrastructure,Medium,ets
1570,TCP,orbixd,Infrastructure,Medium,orbixd
1571,TCP,Oracle-Remote-Data-Base,Database,High,Oracle Remote Data Base
1572,TCP,Chipcom-License-Manager,Infrastructure,Medium,Chipcom License Manager
1573,TCP,itscomm-ns,Infrastructure,Medium,itscomm-ns
1574,TCP,mvel-lm,Infrastructure,Medium,mvel-lm
1575,TCP,oraclenames,Database,High,oraclenames
1576,TCP,moldflow-lm,Infrastructure,Medium,moldflow-lm
1577,TCP,hypercube-lm,Infrastructure,Medium,hypercube-lm
1578,TCP,Jacobus-License-Manager,Infrastructure,Medium,Jacobus License Manager
1579,TCP,ioc-sea-lm,Infrastructure,Medium,ioc-sea-lm
1580,TCP,tn-tl-r1,Infrastructure,Medium,tn-tl-r1
1581,TCP,MIL-2045-47001,Infrastructure,Medium,MIL-2045-47001
1582,TCP,MSIMS,Infrastructure,Medium,MSIMS
1583,TCP,simbaexpress,Infrastructure,Medium,simbaexpress
1584,TCP,tn-tl-fd2,Infrastructure,Medium,tn-tl-fd2
1585,TCP,intv,Infrastructure,Medium,intv
1586,TCP,ibm-abtact,Infrastructure,Medium,ibm-abtact
1587,TCP,praelmd,Infrastructure,Medium,pra_elmd
1588,TCP,triquest-lm,Infrastructure,Medium,triquest-lm
1589,TCP,VQP,Infrastructure,Medium,VQP
1590,TCP,gemini-lm,Infrastructure,Medium,gemini-lm
1591,TCP,ncpm-pm,Infrastructure,Medium,ncpm-pm
1592,TCP,commonspace,Infrastructure,Medium,commonspace
1593,TCP,mainsoft-lm,Infrastructure,Medium,mainsoft-lm
1594,TCP,sixtrak,Infrastructure,Medium,sixtrak
1595,TCP,radio,Infrastructure,Medium,radio
1596,TCP,radio-sm,Infrastructure,Medium,radio-sm
1597,TCP,orbplus-iiop,Infrastructure,Medium,orbplus-iiop
1598,TCP,picknfs,Infrastructure,Medium,picknfs
1599,TCP,simbaservices,Infrastructure,Medium,simbaservices
1600,TCP,Bofra-A-worm-issd,Infrastructure,Medium,Bofra-A worm / issd
1601,TCP,aas,Infrastructure,Medium,aas
1602,TCP,inspect,Infrastructure,Medium,inspect
1603,TCP,pickodbc,Infrastructure,Medium,pickodbc
1604,TCP,icabrowser,Infrastructure,Medium,icabrowser
1605,TCP,Salutation-Manager,Infrastructure,Medium,Salutation Manager (Salutation Protocol)
1606,TCP,Salutation-Manager,Infrastructure,Medium,Salutation Manager (SLM-API)
1607,TCP,stt,Infrastructure,Medium,stt
1608,TCP,Smart-Corp-License-Manager,Infrastructure,Medium,Smart Corp. License Manager
1609,TCP,isysg-lm,Infrastructure,Medium,isysg-lm
1610,TCP,taurus-wh,Infrastructure,Medium,taurus-wh
1611,TCP,Inter-Library-Loan,Infrastructure,Medium,Inter Library Loan
1612,TCP,NetBill-Transaction-Server,Infrastructure,Medium,NetBill Transaction Server
1613,TCP,NetBill-Key-Repository,C2,High,NetBill Key Repository
1614,TCP,NetBill-Credential-Server,Infrastructure,Medium,NetBill Credential Server
1615,TCP,NetBill-Authorization-Server,Infrastructure,Medium,NetBill Authorization Server
1616,TCP,NetBill-Product-Server,Infrastructure,Medium,NetBill Product Server
1617,TCP,Nimrod-Inter-Agent-Communication,Infrastructure,Medium,Nimrod Inter-Agent Communication
1618,TCP,skytelnet,RemoteAccess,High,skytelnet
1619,TCP,xs-openstorage,C2,High,xs-openstorage
1620,TCP,faxportwinport,Infrastructure,Medium,faxportwinport
1621,TCP,softdataphone,Infrastructure,Medium,softdataphone
1622,TCP,ontime,Infrastructure,Medium,ontime
1623,TCP,jaleosnd,Infrastructure,Medium,jaleosnd
1624,TCP,udp-sr-port,Infrastructure,Medium,udp-sr-port
1625,TCP,svs-omagent,Infrastructure,Medium,svs-omagent
1626,TCP,Shockwave,Infrastructure,Medium,Shockwave
1627,TCP,T128-Gateway,Infrastructure,Medium,T.128 Gateway
1628,TCP,LonTalk-normal,Infrastructure,Medium,LonTalk normal
1629,TCP,LonTalk-urgent,Infrastructure,Medium,LonTalk urgent
1630,TCP,Oracle-Net8-Cman,Database,High,Oracle Net8 Cman
1631,TCP,Visit-view,Infrastructure,Medium,Visit view
1632,TCP,PAMMRATC,Infrastructure,Medium,PAMMRATC
1633,TCP,PAMMRPC,Windows,High,PAMMRPC
1634,TCP,Log-On-America-Probe,Infrastructure,Medium,Log On America Probe
1635,TCP,EDB-Server-1,Infrastructure,Medium,EDB Server 1
1636,TCP,CableNet-Control-Protocol,Infrastructure,Medium,CableNet Control Protocol
1637,TCP,CableNet-Admin-Protocol,Infrastructure,Medium,CableNet Admin Protocol
1638,TCP,Bofra-A-worm-CableNet-Info-Protocol,Infrastructure,Medium,Bofra-A worm / CableNet Info Protocol
1639,TCP,cert-initiator,C2,High,cert-initiator
1640,TCP,cert-responder,Infrastructure,Medium,cert-responder
1641,TCP,InVision,Infrastructure,Medium,InVision
1642,TCP,isis-am,Infrastructure,Medium,isis-am
1643,TCP,isis-ambc,Infrastructure,Medium,isis-ambc
1644,TCP,Satellite-data-Acquisition-System-4,Infrastructure,Medium,Satellite-data Acquisition System 4
1645,TCP,datametrics,Infrastructure,Medium,datametrics
1646,TCP,sa-msg-port,Infrastructure,Medium,sa-msg-port
1647,TCP,rsap,Infrastructure,Medium,rsap
1648,TCP,concurrent-lm,Infrastructure,Medium,concurrent-lm
1649,TCP,kermit,Infrastructure,Medium,kermit
1650,TCP,nkd,Infrastructure,Medium,nkd
1651,TCP,shivaconfsrvr,Infrastructure,Medium,shiva_confsrvr
1652,TCP,xnmp,Infrastructure,Medium,xnmp
1653,TCP,alphatech-lm,Infrastructure,Medium,alphatech-lm
1654,TCP,stargatealerts,Infrastructure,Medium,stargatealerts
1655,TCP,dec-mbadmin,Infrastructure,Medium,dec-mbadmin
1656,TCP,dec-mbadmin-h,Infrastructure,Medium,dec-mbadmin-h
1657,TCP,fujitsu-mmpdc,Infrastructure,Medium,fujitsu-mmpdc
1658,TCP,sixnetudr,Infrastructure,Medium,sixnetudr
1659,TCP,Silicon-Grail-License-Manager,Infrastructure,Medium,Silicon Grail License Manager
1660,TCP,skip-mc-gikreq,Infrastructure,Medium,skip-mc-gikreq
1661,TCP,netview-aix-1,Infrastructure,Medium,netview-aix-1
1662,TCP,netview-aix-2,Infrastructure,Medium,netview-aix-2
1663,TCP,netview-aix-3,Infrastructure,Medium,netview-aix-3
1664,TCP,netview-aix-4,Infrastructure,Medium,netview-aix-4
1665,TCP,netview-aix-5,Infrastructure,Medium,netview-aix-5
1666,TCP,netview-aix-6,Infrastructure,Medium,netview-aix-6
1667,TCP,netview-aix-7,Infrastructure,Medium,netview-aix-7
1668,TCP,netview-aix-8,Infrastructure,Medium,netview-aix-8
1669,TCP,netview-aix-9,Infrastructure,Medium,netview-aix-9
1670,TCP,netview-aix-10,Infrastructure,Medium,netview-aix-10
1671,TCP,netview-aix-11,Infrastructure,Medium,netview-aix-11
1672,TCP,netview-aix-12,Infrastructure,Medium,netview-aix-12
1673,TCP,Intel-Proshare-Multicast,Infrastructure,Medium,Intel Proshare Multicast
1674,TCP,Intel-Proshare-Multicast,Infrastructure,Medium,Intel Proshare Multicast
1675,TCP,Pacific-Data-Products,Infrastructure,Medium,Pacific Data Products
1676,TCP,netcomm1,Infrastructure,Medium,netcomm1
